,Pulse,Op.Cam,Time,Exp.Cam,Comments
1372,103981,KLDT-O5WB,51.08846,KLDT-E5WE,UFO (?) see near upper dump plates. Only appears for a single frame
1373,103980,KLDT-O5WB,41.74925,KLDT-E5WC,Again we see a number of UFOs appear near divertor towards start of pulse and can be seen for a few frames
1374,103980,KLDT-O5WB,41.74925,KLDT-E5WD,Again we see a number of UFOs appear near divertor towards start of pulse and can be seen for a few frames
1375,103980,KLDT-O5WB,41.74925,KLDT-E5WE,Again we see a number of UFOs appear near divertor towards start of pulse and can be seen for a few frames
1376,103979,KLDT-O5WB,42.034738,KLDT-E5WC,A number of UFOs appear towards start of pulse near divertor. Visible for a number of frames.
1377,103979,KLDT-O5WB,42.034738,KLDT-E5WD,A number of UFOs appear towards start of pulse near divertor. Visible for a number of frames.
1378,103979,KLDT-O5WB,42.034738,KLDT-E5WE,A number of UFOs appear towards start of pulse near divertor. Visible for a number of frames.
1379,103977,KLDT-O5WB,57.96719,KLDT-E5WC,Bright spot near inner wall
1380,103977,KLDT-O5WB,57.96719,KLDT-E5WD,Bright spot near inner wall
1381,103966,KLDT-O5WB,42.29933,KLDT-E5WD,UFOs coming during the pulse from tile 7 very likely.
1382,103966,KLDT-O5WB,42.29933,KLDT-E5WE,UFOs coming during the pulse from tile 7 very likely.
1383,103966,KLDT-O5WB,44.86778,KLDT-E5WD,Blue UFO visible on innerwall two frames.
1384,103966,KLDT-O5WB,44.86778,KLDT-E5WE,Blue UFO visible on innerwall two frames.
1385,103965,KLDT-O5WB,52.97719,KLDT-E5WD,A pretty big UFO coming down from UDPT.
1386,103965,KLDT-O5WB,52.97719,KLDT-E5WE,A pretty big UFO coming down from UDPT.
1387,103958,KLDT-O5WB,51.23575,KLDT-E5WC,UFO apear on the UDPT and on REION4 at 51.23575s.
1388,103958,KLDT-O5WB,51.23575,KLDT-E5WD,UFO apear on the UDPT and on REION4 at 51.23575s.
1389,103958,KLDT-O5WB,51.23575,KLDT-E5WE,UFO apear on the UDPT and on REION4 at 51.23575s.
1390,103955,KLDT-O5WB,52.90433,KLDT-E5WD,UFOs in the divertor region b/w 371-400 frames
1391,103954,KLDT-O5WB,41.7598,KLDT-E5WD,UFO in divertor region
1392,103954,KLDT-O5WB,41.7598,KLDT-E5WE,UFO in divertor region
1393,103952,KLDT-O5WB,42.02267,KLDT-E5WD,Several UFOs spotted b/w 41.7-42.6seconds
1394,103952,KLDT-O5WB,42.02267,KLDT-E5WE,Several UFOs spotted b/w 41.7-42.6seconds
1395,103950,KLDT-O5WB,54.12695,KLDT-E5WC,A flurry of UFO's in similar position to previous session pulses.
1396,103950,KLDT-O5WB,54.12695,KLDT-E5WD,A flurry of UFO's in similar position to previous session pulses.
1397,103950,KLDT-O5WB,54.12695,KLDT-E5WE,A flurry of UFO's in similar position to previous session pulses.
1398,103948,KLDT-O5WB,50.55536,KLDT-E5WC,A series of small UFO's in the UDPT region frames 312-320. Similar events seen throughout pulse.
1399,103948,KLDT-O5WB,50.55536,KLDT-E5WD,A series of small UFO's in the UDPT region frames 312-320. Similar events seen throughout pulse.
1400,103948,KLDT-O5WB,50.55536,KLDT-E5WE,A series of small UFO's in the UDPT region frames 312-320. Similar events seen throughout pulse.
1401,103941,KLDT-O5WB,43.47919,KLDT-E5WC,"UFO in UDPT region frame 136-141 (smaller one visible at frame
128-129). Really clear on KLDT- E5WD frames 353-361 and also on KLDT-P5WA frame 213."
1402,103941,KLDT-O5WB,43.47919,KLDT-E5WD,"UFO in UDPT region frame 136-141 (smaller one visible at frame
128-129). Really clear on KLDT- E5WD frames 353-361 and also on KLDT-P5WA frame 213."
1403,103941,KLDT-O5WB,43.47919,KLDT-E5WE,"UFO in UDPT region frame 136-141 (smaller one visible at frame
128-129). Really clear on KLDT- E5WD frames 353-361 and also on KLDT-P5WA frame 213."
1404,103925,KLDT-O5WB,54.27813,KLDT-E5WC,"Multiple UFOs at different times. The one here is the brightest. Other times: 53.55584s, 53.87705s, 53.99738s, 54.11767s, 54.23807s
and 54.59943s)"
1405,103925,KLDT-O5WB,54.27813,KLDT-E5WE,"Multiple UFOs at different times. The one here is the brightest. Other times: 53.55584s, 53.87705s, 53.99738s, 54.11767s, 54.23807s
and 54.59943s)"
1406,103923,KLDT-O5WB,52.92538,KLDT-E5WC,"Multiple UFOs at observed at the UDPT, outer wall, and divertor (other times are: 49.07283s, 49.27366s, 52.68486s and
52.64471s)"
1407,103918,KLDT-O5WB,55.78395,KLDT-E5WD,Ti UFO over 7 frames (one frame has no UFO)
1408,103918,KLDT-O5WB,55.78395,KLDT-E5WE,Ti UFO over 7 frames (one frame has no UFO)
1409,103913,KLDT-O5WB,49.39117,KLDT-E5WC,"A blue UFO seen on WOPL and a few frames later other, as well a typical UFO appears on UDPT."
