,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
46,46,97588,KLDT-O5WB,42.29,KLDT-E5WE,0.0,Lot's of UFOs seen close to the inner wall and divertor and some on the outer wall close to the antenna
47,47,97566,KLDT-O5WB,40.282109999999996,KLDT-E5WC,0.0,Impressive UFO from outer wall lasting several frames. Also seen on KLDT-E5WD from 40.20 seconds. It looks like Titanium + Iron from spectrocopy. Also checked with DC.
48,48,97517,KLDT-O5WB,48.60557,KLDT-E5WE,0.0,"Multiple UFOs close to 4D limiter, possibly coming out of NBI. Nothing noticeable in spectroscopy."
49,49,97461,KLDT-O5WB,44.588879999999996,KLDT-E5WE,0.0,Bright flash at the top inboard part of the chamber.
50,50,97425,KLDT-O5WB,41.88152,KLDT-E5WE,0.0,UFO in one frame in the diverotr
51,51,97116,KLDT-O5WB,50.367129999999996,KLDT-E5WE,0.0,UFO's coming from WOPL seen also by KLDT-E5WD
52,52,97116,KLDT-O5WB,40.27918,KLDT-E5WC,0.0,Small UFO dropping down from npl seen also by KLDT-E5WD
53,53,97116,KLDT-O5WB,40.27918,KLDT-E5WE,0.0,Small UFO dropping down from npl seen also by KLDT-E5WD
54,54,97115,KLDT-O5WB,40.48728,KLDT-E5WC,0.0,"Lots of UFO from WOPL seen also by KLDT-P5WA, KL11-P1DB and KLDT-E5WD."
55,55,97115,KLDT-O5WB,40.48728,KLDT-E5WE,0.0,"Lots of UFO from WOPL seen also by KLDT-P5WA, KL11-P1DB and KLDT-E5WD."
56,56,97106,KLDT-O5WB,52.486430000000006,KLDT-E5WE,57.126,UFOs from WOPL. Seen just for one frame on KLDT-E5WD.
57,57,97096,KLDT-O5WB,46.04209,KLDT-E5WE,0.0,First little particle seems to be coming from NPL 3B. Then lots of UFOs for several frames. Also seen from KLDT-E5WD starting at 46.17500.
58,58,97044,KLDT-O5WB,42.34682,KLDT-E5WE,42.408,"Splattering from IWGL followed by UFO's, seen also on KLDT-E5WD with Be filter. Be?"
59,59,97020,KLDT-O5WB,47.61125,KLDT-E5WE,50.008,"Frames:238-240, next to outer limiter 4D and 3B"
60,60,97018,KLDT-O5WB,47.9178,KLDT-E5WE,49.115,On outer limiter 4D
